1,亜,亞,二,7,S,,sub-,あ
1985,優,,人,17,6,,superior,ゆう
1986,与,與,臼,3,S,,give,よ
1987,予,豫,豕,4,3,,in advance,よ
1988,余,餘,食,7,5,,leave over,よ
1990,預,,頁,13,6,,deposit,ヨ
1991,幼,,幺,5,6,,infancy,ヨウ
1991,幼,,幺,5,6,,infancy,よう
1992,用,,用,5,2,,use,よう
1994,妖,,女,7,S,2010,bewitching,ヨウ
1994,妖,,女,7,S,2010,bewitching,よう
1995,洋,,水,9,3,,ocean,よう
1996,要,,襾,9,4,,need,よう
1997,容,,宀,10,5,,contain,よう
1999,揚,,手,12,S,,hoist,ヨウ
1999,揚,,手,12,S,,hoist,よう
2001,葉,,艸,12,3,,leaf,ヨウ
2001,葉,,艸,12,3,,leaf,よう
2002,陽,,阜,12,3,,sunshine,よう
2004,腰,,肉,13,S,,loins,ヨウ
2005,様,樣,木,14,3,,formal title,ヨウ
2005,様,樣,木,14,3,,formal title,よう
2007,踊,,足,14,S,,jump,ヨウ
2007,踊,,足,14,S,,jump,よう
2009,養,,食,15,4,,foster,ヨウ
2009,養,,食,15,4,,foster,よう
2011,謡,謠,言,16,S,,noh chanting,ヨウ
2011,謡,謠,言,16,S,,noh chanting,よう
2012,曜,,日,18,2,,day of the week,よう
2013,抑,,手,7,S,,repress,よく
2015,浴,,水,10,4,,bathe,ヨク
2016,欲,,欠,11,6,,longing,ヨク
2017,翌,,羽,11,6,,the following,ヨク
2017,翌,,羽,11,6,,the following,よく
2018,翼,,羽,17,S,,wing,よく
2020,裸,,衣,13,S,,naked,ラ
2021,羅,,网,19,S,1981,gauze,ラ
2021,羅,,网,19,S,1981,gauze,ら
2022,来,來,人,7,2,,come,らい
2023,雷,,雨,13,S,,thunder,らい
2024,頼,賴,貝,16,S,,trust,らい
2026,落,,艸,12,3,,fall,ラク
2026,落,,艸,12,3,,fall,らく
2028,辣,,辛,14,S,2010,bitter,ラツ
2029,乱,亂,乙,7,6,,riot,ラン
2029,乱,亂,乙,7,6,,riot,らん
2031,覧,覽,見,17,6,,see,ラン
2031,覧,覽,見,17,6,,see,らん
2033,藍,,艸,18,S,2010,indigo,ラン
2034,欄,欄,木,20,S,,column,ラン
2035,吏,,口,6,S,,officer,リ
2036,利,,刀,7,4,,profit,リ
2036,利,,刀,7,4,,profit,り
2037,里,,里,7,2,,village,り
2038,理,,玉,11,2,,reason,り
2040,裏,,衣,13,6,,back,リ
2041,履,,尸,15,S,,footgear,リ
2042,璃,,玉,15,S,2010,glassy,リ
2043,離,,隹,19,S,,detach,リ
2043,離,,隹,19,S,,detach,り
2044,陸,,阜,11,4,,land,りく
2045,立,,立,5,1,,stand up,りつ
2046,律,,彳,9,6,,law,りつ
2048,略,,田,11,5,,abbreviation,リャク
2048,略,,田,11,5,,abbreviation,りゃく
2049,柳,,木,9,S,,willow,りゅう
2050,流,,水,10,3,,stream,りゅう
2051,留,,田,10,5,,detain,りゅう
2052,竜,龍,龍,10,S,1981,dragon,りゅう
2054,隆,隆,阜,11,S,,hump,リュウ
2055,硫,,石,12,S,,sulphur,リュウ
2056,侶,,人,9,S,2010,companion,リョ
2057,旅,,方,10,3,,trip,リョ
2057,旅,,方,10,3,,trip,りょ
2059,慮,,心,15,S,,prudence,リョ
2059,慮,,心,15,S,,prudence,りょ
2060,了,,亅,2,S,,finish,りょう
2061,両,兩,入,6,3,,both,りょう
2062,良,,艮,7,4,,good,りょう
2063,料,,斗,10,4,,fee,りょう
2064,涼,,水,11,S,,refreshing,りょう
2066,陵,,阜,11,S,,mausoleum,リョウ
2066,陵,,阜,11,S,,mausoleum,りょう
2067,量,,里,12,4,,quantity,りょう
2068,僚,,人,14,S,,colleague,りょう
2069,領,,頁,14,5,,territory,りょう
2071,療,,疒,17,S,,heal,リョウ
2071,療,,疒,17,S,,heal,りょう
2073,糧,,米,18,S,,provisions,リョウ
2074,力,,力,2,1,,power,リョク
2074,力,,力,2,1,,power,りょう
2075,緑,綠,糸,14,3,,green,りょう
2076,林,,木,8,1,,woods,りん
2078,倫,,人,10,S,,ethics,リン
2078,倫,,人,10,S,,ethics,りん
2079,輪,,車,15,4,,wheel,りん
2080,隣,,阜,16,S,,neighboring,りん
2081,臨,,臣,18,6,,look to,りん
2083,涙,淚,水,10,S,,tears,ルイ
2084,累,,糸,11,S,,accumulate,ルイ
2085,塁,壘,土,12,S,,bases,ルイ
2085,塁,壘,土,12,S,,bases,るい
2086,類,類,頁,18,4,,sort,るい
2087,令,,人,5,4,,orders,れい
2088,礼,禮,示,5,3,,thanks,れい
2089,冷,,冫,7,4,,cool,れい
2091,戻,戾,戶,7,S,1981,re-,レイ
2091,戻,戾,戶,7,S,1981,re-,れい
2092,例,,人,8,4,,example,れい
2093,鈴,,金,13,S,,small bell,れい
2095,霊,靈,雨,15,S,,spirits,レイ
2095,霊,靈,雨,15,S,,spirits,れい
2097,齢,齡,齒,17,S,,age,レイ
2097,齢,齡,齒,17,S,,age,れい
2098,麗,,鹿,19,S,,lovely,れい
2099,暦,曆,日,14,S,,calendar,れき
2100,歴,歷,止,14,5,,curriculum,れき
2101,列,,刀,6,3,,row,れつ
2103,烈,,火,10,S,,ardent,レツ
2104,裂,,衣,12,S,,split,レツ
2105,恋,戀,心,10,S,,romance,レン
2105,恋,戀,心,10,S,,romance,れん
2106,連,,辵,10,4,,take along,れん
2108,練,練,糸,14,3,,practice,レン
2108,練,練,糸,14,3,,practice,れん
2110,呂,,口,7,S,2010,spine,ロ
2111,炉,爐,火,8,S,,hearth,ロ
2112,賂,,貝,13,S,2010,bribe,ロ
2113,路,,足,13,3,,road,ロ
2113,路,,足,13,3,,road,ろ
2114,露,,雨,21,S,,dew,ろ
2115,老,,老,6,4,,old man,ろう
2116,労,勞,力,7,4,,labour,ろう
2118,郎,郞,邑,9,S,,son,ロウ
2118,郎,郞,邑,9,S,,son,ろう
2119,朗,朗,月,10,6,,melodious,ろう
2121,廊,廊,广,12,S,,corridor,ロウ
2122,楼,樓,木,13,S,,watchtower,ロウ
2123,漏,,水,14,S,,leak,ロウ
2124,籠,,竹,22,S,2010,basket,ロウ
2125,六,,八,4,1,,six,ロク
2126,録,錄,金,16,4,,record,ロク
2126,録,錄,金,16,4,,record,ろく
2128,論,,言,15,6,,theory,ロン
2128,論,,言,15,6,,theory,ろん
2129,和,,口,8,3,,peace,わ
2130,話,,言,13,2,,talk,わ
2132,脇,,肉,10,S,2010,aside,わき
2133,惑,,心,12,S,,beguile,ワク
2133,惑,,心,12,S,,beguile,わく
2135,湾,灣,水,12,S,,gulf,ワン
2135,湾,灣,水,12,S,,gulf,わん
2136,腕,,肉,12,S,,arm,わん
